anio_publicacion,coleccion,descripcion_producto,mes_publicacion,nombre_producto,precio,url
2022,BERSERK,,Noviembre,BERSERK N.37,$99.00,https://tiendapanini.com.mx/berserk-n37
2020,BERSERK,,Enero,BERSERK N.11,$99.00,https://tiendapanini.com.mx/berserk-n11
2022,BERSERK,,Noviembre,BERSERK N.35,$99.00,https://tiendapanini.com.mx/berserk-n35
2022,BERSERK,,Julio,BERSERK N.33,$99.00,https://tiendapanini.com.mx/berserk-n33
2022,BERSERK,,Marzo,BERSERK N.13,$99.00,https://tiendapanini.com.mx/berserk-n13
2022,BERSERK,,Diciembre,BERSERK N.17,$99.00,https://tiendapanini.com.mx/berserk-n17
2021,BERSERK,"Con el regreso de Guts, la Banda del Halcon busca recuperar fuerzas y volver a los viejos dias de gloria. Los pocos integrantes que quedaron de la banda rescatan a Griffith, quien quedo malherido tras la tortura a la que fue sometido tras seducir a la princesa Charlotte. Ahora, tras un extrano eclipse y la aparicion de cuatro entes demoniacos, el futuro de estos guerreros se vuelve incierto...",Julio,BERSERK N.12,$99.00,https://tiendapanini.com.mx/berserk-n12
2023,BERSERK,,Marzo,BERSERK N.7,$99.00,https://tiendapanini.com.mx/berserk-n7
2023,BERSERK,,Marzo,BERSERK N.8,$99.00,https://tiendapanini.com.mx/berserk-n8
2023,BERSERK,"Despues de enfrentarse contra espantapajaros feroces, calabazas ardientes y un gigante de maiz, Gutsy sus amigos saben que su estancia en Elfhelm estara repleta de emociones... y de algunos peligros. Lo que le interesa a Guts es que la magia de la isla ayude a Kaska a erradicar la maldicion que pesa sobre ella. Danan, la reina de los elfos, acepta apoyarlos, asi que inicia un ritual onirico en el que involucra a Shierke ya Farnese. Ellas deberan transitar por el inconsciente de Kaska, al mismo tiempo que descubriran sus secretos mas reconditos y lucharan contra los demonios que aquejan la mente de la joven. !Penetra en el misterioso mundo del tomo 39 deBerserk!",Julio,BERSERK N.39,$99.00,https://tiendapanini.com.mx/berserk-n39
2022,BERSERK,,Octubre,BERSERK N.18,$99.00,https://tiendapanini.com.mx/berserk-n18
2024,BERSERK,"Al final de su viaje, Guts llega a la isla de los elfos para salvar la mente y el cuerpo de Kasca, que fueron afectados por el ecipse. Con las artes magicas de Danan, soberana de la isla y reina de las Tormentas de Flores, junto con los esfuerzos de Schierke y Farnese, Kasca finalmente queda curada de sus males. Y aunque Guts y Kasca aun no charlan formalmente, logran intercambiar allgunas palabras afectuosas. Mientras el grupo disfruta de unos dias de paz, luego de los episodios tormentosos que han sufrifo, un nino de cabello negro se hace visible ante Guts, el mismo que se la aparecia durante las noches de luna llena. ?Que consecuencias tendra dicho encuentro?",Junio,Berserk N.42,$169.00,https://tiendapanini.com.mx/berserk-n42
2024,BERSERK,,Febrero,BERSERK N.26,$99.00,https://tiendapanini.com.mx/berserk-n26
2024,BERSERK,,Agosto,BERSERK N.31,$99.00,https://tiendapanini.com.mx/berserk-n31
2022,BERSERK,,Julio,BERSERK N.32,$99.00,https://tiendapanini.com.mx/berserk-n32
2020,BERSERK,,Enero,BERSERK N.1,$99.00,https://tiendapanini.com.mx/berserk-n1
2022,BERSERK,,Noviembre,BERSERK N.38,$99.00,https://tiendapanini.com.mx/berserk-n38
2024,BERSERK,,Julio,BERSERK N.30,$99.00,https://tiendapanini.com.mx/berserk-n30
2020,BERSERK,,Enero,BERSERK N.9,$99.00,https://tiendapanini.com.mx/berserk-n9
2020,BERSERK,,Enero,BERSERK N.4,$99.00,https://tiendapanini.com.mx/berserk-n4
2022,BERSERK,,Mayo,BERSERK N.14,$99.00,https://tiendapanini.com.mx/berserk-n14
2020,BERSERK,,Enero,BERSERK N.10,$99.00,https://tiendapanini.com.mx/berserk-n10
2023,BERSERK,,Noviembre,BERSERK N.20,$99.00,https://tiendapanini.com.mx/berserk-n20
2022,BERSERK,,Noviembre,BERSERK N.36,$99.00,https://tiendapanini.com.mx/berserk-n36
2020,BERSERK,,Enero,BERSERK N.6,$99.00,https://tiendapanini.com.mx/berserk-n6
2023,BERSERK,,Diciembre,BERSERK N.21,$99.00,https://tiendapanini.com.mx/berserk-n21
2022,BERSERK,,Noviembre,BERSERK N.34,$99.00,https://tiendapanini.com.mx/berserk-n34
2023,BERSERK,,Julio,BERSERK N.40,$99.00,https://tiendapanini.com.mx/berserk-n40
2020,BERSERK,,Enero,BERSERK N.5,$99.00,https://tiendapanini.com.mx/berserk-n5
2024,BERSERK,,Junio,BERSERK N.28,$99.00,https://tiendapanini.com.mx/berserk-n28
2022,BERSERK,,Junio,BERSERK N.15,$99.00,https://tiendapanini.com.mx/berserk-n15
2023,BERSERK,,Diciembre,BERSERK N.22,$99.00,https://tiendapanini.com.mx/berserk-n22
2020,BERSERK GUIDE BOOK,,Enero,BERSERK GUIDE BOOK N.1,$129.00,https://tiendapanini.com.mx/berserk-guide-book-n1
2024,BERSERK,,Enero,BERSERK N.24,$99.00,https://tiendapanini.com.mx/berserk-n24
2024,BERSERK,,Junio,BERSERK N.27,$99.00,https://tiendapanini.com.mx/berserk-n27
2024,BERSERK,,Julio,BERSERK N.29,$99.00,https://tiendapanini.com.mx/berserk-n29
